Year,Canada,United_States
1980,1,3
1981,2,1
1982,1,0
1983,2,1
1984,2,1
1985,1,1
1986,0,1
1987,2,2
1988,2,3
1989,3,1
1990,1,2
1991,2,1
1992,0,1
1993,1,1
1994,2,1
1995,2,1
1996,2,1
1997,2,1
1998,3,2
1999,2,2
2000,1,2
2001,2,2
2002,2,3
2003,1,2
2004,1,2
2005,2,2
2006,2,2
2007,2,3
2008,2,1
2009,2,1
2010,2,2
2011,1,4
2012,2,3
2013,2,2
2014,2,0
2015,2,2
2016,1,2
2017,1,2
2018,2,2
2019,1,2
2020,2,2
2021,3,4
2022,3,4
2023,4,4
